Storage_Type,Zone,etaStor,rhoH2Stor_min,H2StorUnitCapex_per_tonne,H2StorCap_min_tonne,H2StorCap_max_tonne,H2StorCap_avai,InjectionRate_tonne_per_hour,WithdrawalRate_tonne_per_hour,lifetime
UG,1,1,0.3,18000,300,1912,0,3,5,40
UG,2,1,0.3,18000,300,1912,0,3,5,40
UG,3,1,0.3,18000,300,1912,0,3,5,40
UG,4,1,0.3,18000,300,1912,0,3,5,40
UG,5,1,0.3,18000,300,1912,0,3,5,40
UG,6,1,0.3,18000,300,1912,0,3,5,40
UG,7,1,0.3,18000,300,1912,0,3,5,40
AG,1,1,0,579000,0,10000,1,10000,10000,12
AG,2,1,0,579000,0,10000,1,10000,10000,12
AG,3,1,0,579000,0,10000,1,10000,10000,12
AG,4,1,0,579000,0,10000,1,10000,10000,12
AG,5,1,0,579000,0,10000,1,10000,10000,12
AG,6,1,0,579000,0,10000,1,10000,10000,12
AG,7,1,0,579000,0,10000,1,10000,10000,12
