Time_index,Nuclear,Hydro_Res_1,Hydro_RoR_1,PV_1_0,Wind_1_0,Wind_1_1,Wind_1_2,Nuclear,Hydro_Res_2,Hydro_RoR_2,PV_2_0,Wind_2_0,Wind_2_1,Wind_2_2,Nuclear,Hydro_Res_3,Hydro_RoR_3,PV_3_0,Wind_3_0,Wind_3_1,Wind_3_2,Nuclear,PV_4_0,Wind_4_0,Wind_4_1,Wind_4_2,Nuclear,Hydro_Res_5,Hydro_RoR_5,PV_5_0,Wind_5_0,Wind_5_1,Wind_5_2,Nuclear,Hydro_Res_6,Hydro_RoR_6,PV_6_0,Wind_6_0,Wind_6_1,Wind_6_2,Hydro_Can,CCGT,CCGT,CCGT,CCGT,CCGT,CCGT,OCGT_F,OCGT_F,OCGT_F,OCGT_F,OCGT_F,OCGT_F,CCGT_CCS,CCGT_CCS,CCGT_CCS,CCGT_CCS,CCGT_CCS,CCGT_CCS,Wind_offshore_2,Wind_offshore_4,PHS_1,PHS_2,PHS_3,PHS_5,PHS_6,Storage_bat,Storage_bat,Storage_bat,Storage_bat,Storage_bat,Storage_bat
1,1,0.43156127156036905,0.6524036485659319,0.0,0.10111338953975284,0.11031948548985283,0.06133149194976713,1,0.4365850437876301,0.4034752058457926,0.0,0.5613791072420962,0.2694300948735404,0.09530775899956603,1,0.4946398531101264,0.5613323764216974,0.0,0.6404915121122854,0.5203628771940692,0.25721690511620643,1,0.0,0.4595351590497725,0.4658687794734288,0.4451171185263337,1,0.4007649101307189,0.4544213224616352,0.0,0.5359607555894299,0.3134127915081601,0.2151252278284796,1,0.7040351968301248,0.44634954635969054,0.0,0.4729729606373244,0.420619812445502,0.21284449683765894,0.9680673112960216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1598098951494405,0.3518759432829402,1,1,1,1,1,1,1,1,1,1,1
2,1,0.43156127156036905,0.6524036485659319,0.0,0.09783607544120286,0.10834559391412374,0.0561265390518625,1,0.4365850437876301,0.4034752058457926,0.0,0.5658298962187441,0.2474824473395572,0.07598825392442105,1,0.4946398531101264,0.5613323764216974,0.0,0.5917601317024732,0.45956797465132,0.21455912061821875,1,0.0,0.3965374158653774,0.36440825579460734,0.3367371347601217,1,0.4007649101307189,0.4544213224616352,0.0,0.4859262508091062,0.2797856530775843,0.20431666375279256,1,0.7040351968301248,0.44634954635969054,0.0,0.4113355709377014,0.3650027909549786,0.17225087113342344,0.9680673112960216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.19620301270205867,0.2911759269740071,1,1,1,1,1,1,1,1,1,1,1
3,1,0.43156127156036905,0.6524036485659319,0.0,0.10156985168951968,0.11095158682404066,0.06292151014461855,1,0.4365850437876301,0.4034752058457926,0.0,0.5408076806062825,0.2585364983523488,0.07146397262676951,1,0.4946398531101264,0.5613323764216974,0.0,0.5300395566468435,0.4189550555245533,0.1894223750597644,1,0.0,0.2971964380367301,0.2582810842736339,0.3373098497743941,1,0.4007649101307189,0.4544213224616352,0.0,0.4285201084688548,0.2402651220210646,0.18858639329369087,1,0.7040351968301248,0.44634954635969054,0.0,0.3687923057214322,0.3368741590594613,0.16342579034191962,0.9680673112960216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.19675566603295744,0.2439824787534986,1,1,1,1,1,1,1,1,1,1,1
4,1,0.43156127156036905,0.6524036485659319,0.0,0.0986992466348943,0.11466217774009407,0.07483849200837586,1,0.4365850437876301,0.4034752058457926,0.0,0.5217683668140705,0.25499657493183914,0.06211843001922891,1,0.4946398531101264,0.5613323764216974,0.0,0.4615327705711938,0.35839350388786395,0.16093520571690714,1,0.0,0.19799661829098167,0.18535400338543628,0.19675601006007515,1,0.4007649101307189,0.4544213224616352,0.0,0.3652965923846844,0.229217823732892,0.1879206533455008,1,0.7040351968301248,0.44634954635969054,0.0,0.3346763684501448,0.3047930856382869,0.15189372583126362,0.9680673112960216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2030116227535988,0.20872245773001813,1,1,1,1,1,1,1,1,1,1,1
5,1,0.43156127156036905,0.6524036485659319,0.033738386372810576,0.11115392365420068,0.12698885910354368,0.08241311148927871,1,0.4365850437876301,0.4034752058457926,0.0556441464879413,0.4902029869420713,0.23943101788693644,0.06432233293944356,1,0.4946398531101264,0.5613323764216974,0.04191404341674871,0.3766203938153479,0.2859085534289675,0.12543539073583193,1,0.033317350700894525,0.12364897983306836,0.09938921560003178,0.14077370775629974,1,0.4007649101307189,0.4544213224616352,0.018480416470235454,0.3482112221110147,0.20932845225830216,0.17794021709477914,1,0.7040351968301248,0.44634954635969054,0.01,0.3060043724211169,0.3033761654013249,0.1457128671319976,0.9680673112960216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21663467756882265,0.17674812129827772,1,1,1,1,1,1,1,1,1,1,1
6,1,0.43156127156036905,0.6524036485659319,0.07923565725813593,0.11262698999030732,0.13058067272233814,0.08577511761356295,1,0.4365850437876301,0.4034752058457926,0.35566464596943936,0.4403801016883101,0.22075854461856287,0.061443004207142285,1,0.4946398531101264,0.5613323764216974,0.3900219160147199,0.3163744953529912,0.2357539532068781,0.10780575795873082,1,0.3663235218155267,0.10672148574241933,0.08338368651567299,0.08443511168798484,1,0.4007649101307189,0.4544213224616352,0.16051038281446878,0.3224046005843506,0.18993927738637872,0.16441168922992047,1,0.7040351968301248,0.44634954635969054,0.05935288380657515,0.2871151856038005,0.3028415164069645,0.13035828300063815,0.9680673112960216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.15664794035208127,0.09933546131624056,1,1,1,1,1,1,1,1,1,1,1
7,1,0.43156127156036905,0.6524036485659319,0.13558317471419865,0.08209665225921943,0.0976913920709054,0.06449941476589532,1,0.4365850437876301,0.4034752058457926,0.6450290433799111,0.2285965703982757,0.0950509776939891,0.02291642511009729,1,0.4946398531101264,0.5613323764216974,0.7739929027729449,0.17500458308131334,0.11561981977434382,0.04152885314316798,1,0.7655371484335407,0.028361887361885118,0.026194532058100368,0.01895898858845213,1,0.4007649101307189,0.4544213224616352,0.3885669214700949,0.1708418332728824,0.07344706392830959,0.05922865922504625,1,0.7040351968301248,0.44634954635969054,0.14475559211865394,0.19247100236216347,0.17429343808952885,0.09097520008708088,0.9680673112960216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.11116144655897596,0.05840224430819459,1,1,1,1,1,1,1,1,1,1,1
8,1,0.43156127156036905,0.6524036485659319,0.19977176038234126,0.06315438225528333,0.07876874597948394,0.05848128324824869,1,0.4365850437876301,0.4034752058457926,0.7418800875693214,0.1625145101726293,0.08565635126703937,0.029890807828550782,1,0.4946398531101264,0.5613323764216974,0.9073880910299904,0.08706540676582948,0.049216090774250376,0.02720055758601025,1,0.9092531869858403,0.0215501461022814,0.03320625980774944,0.01,1,0.4007649101307189,0.4544213224616352,0.4781282483912772,0.13364133520000654,0.06029254329245268,0.04532060017521837,1,0.7040351968301248,0.44634954635969054,0.2166649081580452,0.16214068263422196,0.17065624264672308,0.08327015695749687,0.9680673112960216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.07190873678156381,0.041055536867649116,1,1,1,1,1,1,1,1,1,1,1
9,1,0.43156127156036905,0.6524036485659319,0.2614145621251688,0.05701504300487128,0.08151972438589092,0.06476616777995207,1,0.4365850437876301,0.4034752058457926,0.7480191231990642,0.12761679920733834,0.06948830900167438,0.031765534919780486,1,0.4946398531101264,0.5613323764216974,0.9142382398234518,0.10120006135430283,0.07519253036830405,0.04764146784374635,1,0.951950039186126,0.04305494241660342,0.05254993361414489,0.024171680532017282,1,0.4007649101307189,0.4544213224616352,0.4309714858132959,0.15538886527435253,0.0800175091876053,0.0644484342013466,1,0.7040351968301248,0.44634954635969054,0.2813671694448124,0.16630241984988575,0.18480392703398496,0.08791898165397052,0.9680673112960216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04297258503453233,0.047364208554316674,1,1,1,1,1,1,1,1,1,1,1
10,1,0.43156127156036905,0.6524036485659319,0.31801449686660976,0.06461890342164123,0.0929270738792644,0.07257413656684934,1,0.4365850437876301,0.4034752058457926,0.6650104599566937,0.12579182768315722,0.07329489521476899,0.03633592083408629,1,0.4946398531101264,0.5613323764216974,0.7555236708737612,0.12580485757033633,0.0945852122154257,0.07245827863842623,1,0.95715850496513,0.09864560446560387,0.08254195797345984,0.08085326880843181,1,0.4007649101307189,0.4544213224616352,0.3514917055329477,0.18355723869076151,0.1112660964208346,0.10300902068258012,1,0.7040351968301248,0.44634954635969054,0.3427784609890476,0.1724169596001689,0.19854531838830314,0.10062414216027782,0.9680673112960216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0311556474047396,0.04476984268141378,1,1,1,1,1,1,1,1,1,1,1
