Heat_Price_dollar_per_MWh,Time_index,Heat_Demand_MW_z1
19.25,1,11341
,2,11341
,3,11341
,4,11341
,5,11341
,6,11341
,7,11341
,8,11341
,9,11341
,10,11341
,11,11341
,12,11341
,13,11341
,14,11341
,15,11341
,16,11341
,17,11341
,18,11341
,19,11341
,20,11341
,21,11341
,22,11341
,23,11341
,24,11341
,25,11341
,26,11341
,27,11341
,28,11341
,29,11341
,30,11341
,31,11341
,32,11341
,33,11341
,34,11341
,35,11341
,36,11341
,37,11341
,38,11341
,39,11341
,40,11341
,41,11341
,42,11341
,43,11341
,44,11341
,45,11341
,46,11341
,47,11341
,48,11341
,49,11341
,50,11341
,51,11341
,52,11341
,53,11341
,54,11341
,55,11341
,56,11341
,57,11341
,58,11341
,59,11341
,60,11341
,61,11341
,62,11341
,63,11341
,64,11341
,65,11341
,66,11341
,67,11341
,68,11341
,69,11341
,70,11341
,71,11341
,72,11341
,73,11341
,74,11341
,75,11341
,76,11341
,77,11341
,78,11341
,79,11341
,80,11341
,81,11341
,82,11341
,83,11341
,84,11341
,85,11341
,86,11341
,87,11341
,88,11341
,89,11341
,90,11341
,91,11341
,92,11341
,93,11341
,94,11341
,95,11341
,96,11341
,97,11341
,98,11341
,99,11341
,100,11341
,101,11341
,102,11341
,103,11341
,104,11341
,105,11341
,106,11341
,107,11341
,108,11341
,109,11341
,110,11341
,111,11341
,112,11341
,113,11341
,114,11341
,115,11341
,116,11341
,117,11341
,118,11341
,119,11341
,120,11341
,121,11341
,122,11341
,123,11341
,124,11341
,125,11341
,126,11341
,127,11341
,128,11341
,129,11341
,130,11341
,131,11341
,132,11341
,133,11341
,134,11341
,135,11341
,136,11341
,137,11341
,138,11341
,139,11341
,140,11341
,141,11341
,142,11341
,143,11341
,144,11341
,145,11341
,146,11341
,147,11341
,148,11341
,149,11341
,150,11341
,151,11341
,152,11341
,153,11341
,154,11341
,155,11341
,156,11341
,157,11341
,158,11341
,159,11341
,160,11341
,161,11341
,162,11341
,163,11341
,164,11341
,165,11341
,166,11341
,167,11341
,168,11341
