Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Subperiods,Hours_per_period,Sub_Weights
9000.0,1.0,1.0,1.0,1,1214.2040153396233,8504.332339108489,3359.599734606823,7628.682806273351,3113.736885400569,5758.3600546161315,0.0,20.0,168.0,576.0
,,,,2,1107.6568020468035,7726.21141516393,3042.40213875418,7085.667900074821,2892.098945314465,5348.476012466234,0.0,,,600.0
,,,,3,1031.6252781825913,7122.969404799102,2766.6718573722114,6674.216221121255,2724.160088522024,5037.89986548807,0.0,,,456.0
,,,,4,992.2189223959214,6731.952506354358,2586.3007053950373,6405.788103518255,2614.5979855896826,4835.282219795708,0.0,,,240.0
,,,,5,971.4348118788316,6516.974272216646,2471.2402590848083,6221.261582440547,2539.281309093208,4695.996031737479,0.0,,,432.0
,,,,6,960.5045511592662,6389.0231079121995,2405.9334164921233,6139.5418620817245,2505.926441154979,4634.311520093913,0.0,,,336.0
,,,,7,970.0246144089753,6369.436502038865,2378.986487069076,6057.564741617004,2472.466512326896,4572.432715080772,0.0,,,384.00000000000017
,,,,8,964.9091925503461,6324.669591015871,2354.1064495202672,6085.977623198877,2484.063565140423,4593.879615744022,0.0,,,264.0
,,,,9,1026.091392559055,6569.254119891285,2410.0820407750284,6422.713975356313,2621.506479860329,4848.058378767958,0.0,,,816.0
,,,,10,1145.722085506904,7132.177511448419,2611.184133338266,6940.778516451256,2832.960634081936,5239.109132208769,0.0,,,168.0
,,,,11,1258.4711042179624,7843.4243456897875,2906.614103954152,7417.608778574753,3027.5845308873204,5599.035007221706,0.0,,,336.0
,,,,12,1326.0166714127306,8394.424458826423,3158.499366468333,7787.026915862459,3178.366901765656,5877.882968164438,0.0,,,528.0
,,,,13,1354.6235687834246,8756.307244497699,3321.2471384001715,8053.7289309632015,3287.2244755983174,6079.19769958555,0.0,,,360.0
,,,,14,1351.0199493955326,8964.359692988712,3428.0188605072526,8252.688230380165,3368.4320608420776,6229.378184388892,0.0,,,672.0
,,,,15,1338.4837553913342,9052.84515247077,3473.631307073954,8336.780428417562,3402.755283533697,6292.853513797686,0.0,,,552.0
,,,,16,1309.766469640638,9010.381000562284,3477.770971604664,8411.286026453568,3433.165622338551,6349.092588153095,0.0,,,288.0
,,,,17,1286.4329528464375,8970.997913927325,3492.2916489276727,8462.66892967196,3454.138160467745,6387.877954499654,0.0,,,504.0
,,,,18,1288.5873670874248,8992.492094380435,3516.127016660811,8539.13638693804,3485.3492552620355,6445.597899420808,0.0,,,311.99999999999994
,,,,19,1315.3432784234826,9101.492237878498,3549.2954438078496,8559.528931528495,3493.6727129140245,6460.990807628379,0.0,,,480.0
,,,,20,1350.690639700277,9200.26369545789,3583.5109727032973,8444.964725614049,3446.9119807193274,6374.514286873829,0.0,,,432.0
,,,,21,1354.9151255700774,9196.40344115214,3544.115691130027,8269.143371558608,3375.1484208406428,6241.799021650219,0.0,,,
,,,,22,1354.625409110479,9148.430546357806,3481.9231142784483,8300.456442505696,3387.929220158046,6265.435072788799,0.0,,,
,,,,23,1376.9021518568536,9350.619395383725,3541.007643799613,8451.199462946119,3449.4567623146086,6379.2204548081545,0.0,,,
,,,,24,1331.7784189546398,9232.190251566191,3521.3059842264893,8028.882421457894,3277.0830796214777,6060.4428042169375,0.0,,,
,,,,25,1203.0158064786767,8449.40914986499,3216.5487765238618,7374.790549130866,3010.107765399399,5566.714515165554,0.0,,,
,,,,26,1101.610069882928,7604.614774195653,2866.1858052822954,6827.955127740456,2786.910436965886,5153.94663282625,0.0,,,
,,,,27,1034.3128087655086,7018.775010338632,2609.1137039240725,6483.572032652111,2646.346413907649,4893.995877420475,0.0,,,
,,,,28,992.1549130796468,6695.453293848314,2476.421804720915,6268.205114298477,2558.441865428939,4731.4304265783585,0.0,,,
,,,,29,987.5106169624953,6544.585632271053,2408.009158263327,6161.630418122626,2514.942145888859,4650.984628938535,0.0,,,
,,,,30,982.3661661114604,6520.1726044200805,2391.4293162224467,6200.112269796811,2530.6489676324372,4680.031892160184,0.0,,,
,,,,31,1027.6844102953887,6689.176867501781,2453.6216139006438,6435.267428191208,2626.630319732004,4857.53410389478,0.0,,,
,,,,32,1119.517188852399,7134.788754125522,2636.059903666513,7047.682890898946,2876.594915697985,5319.803780959544,0.0,,,
,,,,33,1263.7430072920135,8182.060626963465,3043.446566686777,7880.268937019042,3216.424732706772,5948.264860251788,0.0,,,
,,,,34,1397.192713063669,9205.668900293966,3472.590607164235,8487.903449731164,3464.437927529642,6406.9257319464805,0.0,,,
,,,,35,1485.7592779560946,9808.795602981774,3709.968160311706,8906.987492398252,3635.492023613204,6723.26301743916,0.0,,,
,,,,36,1530.3261436142132,10209.430594846848,3868.567979186169,9194.652449456737,3752.905869512471,6940.401210218161,0.0,,,
,,,,37,1572.5728658197306,10532.516173994123,3997.1134885013157,9401.040515729264,3837.145593587878,7096.189152482045,0.0,,,
,,,,38,1566.909116197361,10734.376542782164,4074.8567997303735,9508.6406653736,3881.063864058721,7177.40899335328,0.0,,,
,,,,39,1547.0125996512963,10804.235413177772,4118.39021088468,9627.267801633418,3929.482929205577,7266.952336572417,0.0,,,
,,,,40,1547.1508831967935,10879.216408616692,4184.73157529024,9690.453665980094,3955.2729851625973,7314.646934251991,0.0,,,
,,,,41,1515.2793353308787,10857.929139984222,4203.3880883364645,9730.780600492226,3971.732899233517,7345.086921693703,0.0,,,
